[25/04/24, 6:52:55 PM] O2: Shsus
[04/11/24, 9:08:19 PM] O2: 🥺
[04/11/24, 9:08:41 PM] O2: 🥺🥺
[04/11/24, 9:08:43 PM] Aman: AXA koi na
[04/11/24, 9:08:48 PM] O2: Hm🤗
[04/11/24, 9:08:51 PM] Aman: Maaf Kiya !
[04/11/24, 9:08:57 PM] O2: 🙄
[04/11/24, 9:09:09 PM] Aman: Aaj ticket book kar lenge
[04/11/24, 9:09:25 PM] O2: Thik h
[04/11/24, 9:10:00 PM] Aman: Toh kya kar rhi ho?
[04/11/24, 9:10:01 PM] O2: Dinner kiya?
[04/11/24, 9:10:06 PM] Aman: Nhi
[04/11/24, 9:10:13 PM] O2: Dinner kar rhi thi
[04/11/24, 9:10:16 PM] Aman: Jaaunga abhi thodi der me
[04/11/24, 9:10:20 PM] O2: Kar liya vaise
[04/11/24, 9:10:22 PM] Aman: Axa
[04/11/24, 9:10:25 PM] O2: Achha
[04/11/24, 9:10:29 PM] Aman: Toh baat kaise kar rhi?
[04/11/24, 9:10:33 PM] Aman: Akele karti ho kya?
[04/11/24, 9:10:51 PM] O2: Tbhi to sab sath aa gye the
[04/11/24, 9:10:56 PM] O2: Khana le kar
[04/11/24, 9:11:00 PM] O2: Ab kar liya
[04/11/24, 9:11:06 PM] Aman: Sab matlab kaun?
[04/11/24, 9:11:12 PM] Aman: Tum aur tumhari fauz?
[04/11/24, 9:11:16 PM] O2: Mumma papa bhaiya
[04/11/24, 9:11:42 PM] Aman: Axa zila adhikari log aa gye the
[04/11/24, 9:11:48 PM] O2: 🙄
[04/11/24, 9:11:50 PM] O2: Amannn
[04/11/24, 9:12:00 PM] Aman: Ka 🌊🌊🌊
[04/11/24, 9:12:04 PM] O2: Missing you🥺
[04/11/24, 9:12:08 PM] O2: 🥺
[04/11/24, 9:12:18 PM] Aman: Missing you too🥺
[04/11/24, 9:12:25 PM] Aman: Bus 2 raat aur
[04/11/24, 9:13:16 PM] O2: 😞
[04/11/24, 9:13:28 PM] Aman: Koi na Babu
[04/11/24, 9:13:31 PM] Aman: Aur batao
[04/11/24, 9:13:36 PM] Aman: How was ur day?
[04/11/24, 9:13:43 PM] O2: Sahi tha
[04/11/24, 9:13:49 PM] Aman: Ok
[04/11/24, 9:13:55 PM] Aman: Kya kya kiya?
[04/11/24, 9:14:06 PM] O2: Uthi
[04/11/24, 9:14:09 PM] O2: Bf kiya
[04/11/24, 9:14:16 PM] O2: Fir family time
[04/11/24, 9:14:19 PM] O2: Fir lunch
[04/11/24, 9:14:22 PM] O2: Fir bank
[04/11/24, 9:14:26 PM] O2: Then soi
[04/11/24, 9:14:32 PM] O2: Fir assignment
[04/11/24, 9:14:36 PM] O2: Fir snacks
[04/11/24, 9:14:45 PM] O2: Fir pta nhi
[04/11/24, 9:14:53 PM] O2: Fir tumse baat
[04/11/24, 9:14:57 PM] Aman: Ok
[04/11/24, 9:15:02 PM] O2: Achha ha isse phle tumse baat
[04/11/24, 9:15:08 PM] O2: Fir dinner
[04/11/24, 9:15:14 PM] O2: Fir tumse baat🤗
[04/11/24, 9:15:25 PM] Aman: 🍷 le liyeje thak gyi hongi aap🥺🥺🥺
[04/11/24, 9:15:36 PM] O2: 🙄
[04/11/24, 9:15:51 PM] O2: Kya h isms🧐
[04/11/24, 9:15:57 PM] O2: Kuchh milaya to nhi
[04/11/24, 9:16:02 PM] Aman: Nhi nhi
[04/11/24, 9:16:10 PM] O2: 🧐🧐
[04/11/24, 9:16:24 PM] Aman: Jal h
[04/11/24, 9:16:35 PM] O2: Kala
[04/11/24, 9:16:37 PM] O2: Laal
[04/11/24, 9:16:38 PM] O2: Jal
[04/11/24, 9:16:40 PM] O2: 😑
[04/11/24, 9:16:47 PM] Aman: Sharbhat h na
[04/11/24, 9:16:50 PM] Aman: Laal vala
[04/11/24, 9:16:52 PM] O2: Ohh
[04/11/24, 9:17:03 PM] O2: Thik h fir
[04/11/24, 9:17:14 PM] O2: To chle?
[04/11/24, 9:17:17 PM] O2: Khao ja kar
[04/11/24, 9:17:28 PM] O2: Pet pooja kro
[04/11/24, 9:17:37 PM] Aman: 5 min aur Rukh jao🥺
[04/11/24, 9:17:55 PM] O2: Thik h tum itna kah rhe ho to ruk jati hu😌
[04/11/24, 9:18:03 PM] Aman: 😂😂
[04/11/24, 9:18:08 PM] Aman: Hmm aur batao phir?
[04/11/24, 9:18:22 PM] O2: Kaha ja rhe kal
[04/11/24, 9:18:28 PM] O2: Zsquare?
[04/11/24, 9:18:42 PM] Aman: Hmm vhi jaunga most likely
[04/11/24, 9:18:47 PM] Aman: Abhi baat nhi Kari!
[04/11/24, 9:18:53 PM] O2: Vaise kal jaane vle the na tum
[04/11/24, 9:18:57 PM] O2: Yesterday?
[04/11/24, 9:19:07 PM] Aman: Nhi toh vo aise hi bola tha
[04/11/24, 9:19:13 PM] Aman: Kal hi jaunga
[04/11/24, 9:19:22 PM] O2: Achha
[04/11/24, 9:19:28 PM] Aman: Hmm
[04/11/24, 9:19:44 PM] Aman: Tumne mil liya?
[04/11/24, 9:19:52 PM] O2: Kisse?
[04/11/24, 9:20:12 PM] Aman: Pranjul
Ayush Singh
Ayush vo vala
An all?
[04/11/24, 9:20:35 PM] O2: 🫠
[04/11/24, 9:20:41 PM] Aman: Kya hua?
[04/11/24, 9:21:01 PM] O2: Shreya se socha tha milne ka pr jis fin isse puchha vo train me thi vapas ja rhi thi
[04/11/24, 9:21:27 PM] Aman: Hmm ladkiyon se milna kyu hi yaad hoga tumhe!
[04/11/24, 9:21:49 PM] O2: Same mai bhi kah skti hi tumhe
[04/11/24, 9:21:57 PM] Aman: Ankit is not here
[04/11/24, 9:22:03 PM] O2: Ek bhi ladke se milne ka mann nhi hota tumhara?
[04/11/24, 9:22:08 PM] Aman: And Swati is like buddy only
[04/11/24, 9:22:19 PM] O2: Har baar nhi rhta?
[04/11/24, 9:22:22 PM] Aman: 2 hi close friends h
[04/11/24, 9:22:31 PM] Aman: Last dono baar nhi tha
[04/11/24, 9:22:37 PM] Aman: Matlab ish baar aur pichli baar
[04/11/24, 9:22:46 PM] Aman: Isse pehle toh Mila tha
[04/11/24, 9:22:48 PM] O2: Ha thik h
[04/11/24, 9:22:49 PM] Aman: June vale me
[04/11/24, 9:23:46 PM] Aman: Maar liya taunt?
[04/11/24, 9:24:17 PM] O2: Mai nhi bolti ye sab kbhi… tum ho start krte ho
[04/11/24, 9:24:31 PM] O2: Na family ko na friends ko
[04/11/24, 9:24:47 PM] Aman: 😂
[04/11/24, 9:25:07 PM] Aman: Mai toh sach hi bolta hu😂
[04/11/24, 9:25:42 PM] O2: Ban gye harishchandra sach bol k
[04/11/24, 9:25:52 PM] Aman: 😊
[04/11/24, 9:26:07 PM] Aman: 🫠
[04/11/24, 9:26:23 PM] Aman: Sharm vale emojis kaun se hote h?
[04/11/24, 9:26:25 PM] Aman: Yhi na?
[04/11/24, 9:26:54 PM] O2: Jab Tumhare andar h hi nhi to kyu search kar rhe ho
[04/11/24, 9:27:11 PM] Aman: 🤨
[04/11/24, 9:27:16 PM] Aman: 😏
[04/11/24, 9:27:27 PM] Aman: H
[04/11/24, 9:27:34 PM] O2: 🤣🤣
[04/11/24, 9:27:35 PM] Aman: Hai
[04/11/24, 9:27:37 PM] O2: Funny
[04/11/24, 9:27:41 PM] O2: 😂😂🤣
[04/11/24, 9:27:59 PM] O2: Humour improve ho rha h tumhara
[04/11/24, 9:28:02 PM] O2: 🤣😂
[04/11/24, 9:28:08 PM] O2: Nice joke😂
[04/11/24, 9:28:17 PM] Aman: Effect of living with one !
[04/11/24, 9:28:31 PM] O2: 🤗
[04/11/24, 9:28:36 PM] Aman: 😂😂😂
[04/11/24, 9:28:37 PM] Aman: Heheheh
[04/11/24, 9:28:38 PM] O2: Ab ja rhi mai
[04/11/24, 9:28:41 PM] Aman: 😂😂😂😂
[04/11/24, 9:28:43 PM] Aman: Aree
[04/11/24, 9:28:47 PM] O2: Bye
[04/11/24, 9:28:51 PM] Aman: Arre
[04/11/24, 9:28:52 PM] Aman: Oyeyee
[04/11/24, 9:28:54 PM] Aman: Kya hua
[04/11/24, 9:28:55 PM] Aman: Babu?
[04/11/24, 9:29:00 PM] Aman: 😘😘
[04/11/24, 9:29:04 PM] Aman: Puchhi lelo
[04/11/24, 9:29:10 PM] Aman: Dill bhi lelo
[04/11/24, 9:29:11 PM] O2: 😂
[04/11/24, 9:29:14 PM] O2: Le li
[04/11/24, 9:29:16 PM] Aman: ❤️
[04/11/24, 9:29:23 PM] O2: Vo to phle hi le liya
[04/11/24, 9:29:26 PM] O2: .
[04/11/24, 9:29:27 PM] Aman: Hmm
[04/11/24, 9:29:47 PM] O2: ‎This message was deleted.
‎[04/11/24, 9:29:55 PM] Aman: ‎sticker omitted
‎[04/11/24, 9:29:59 PM] O2: ‎sticker omitted
[04/11/24, 9:30:00 PM] Aman: Was bit late
[04/11/24, 9:30:04 PM] Aman: 😂😂
[04/11/24, 9:30:05 PM] O2: 😑
[04/11/24, 9:30:08 PM] Aman: Already added
[04/11/24, 9:30:18 PM] Aman: Finger speed 😂😂😂
[04/11/24, 9:30:20 PM] Aman: 😘😘😘
[04/11/24, 9:30:23 PM] Aman: 🔥🔥🔥
[04/11/24, 9:30:29 PM] O2: Ha thik h
‎[04/11/24, 9:30:38 PM] Aman: ‎sticker omitted
[04/11/24, 9:31:01 PM] O2: Are
[04/11/24, 9:31:27 PM] O2: Chle ab?
[04/11/24, 9:31:40 PM] O2: Byeee
‎[04/11/24, 9:31:52 PM] Aman: ‎sticker omitted
[04/11/24, 9:31:56 PM] Aman: Nhi
[04/11/24, 9:31:58 PM] O2: ❤️🫵
[04/11/24, 9:32:05 PM] O2: 😂
[04/11/24, 9:32:32 PM] Aman: Hmm😘
[04/11/24, 9:32:55 PM] O2: Adhe ghante me milte h fir se
‎[04/11/24, 9:33:51 PM] Aman: ‎sticker omitted
[04/11/24, 9:34:03 PM] O2: Ha😑
[04/11/24, 9:34:08 PM] O2: Bs bhi kro
[04/11/24, 9:34:17 PM] Aman: Chalo AXA theek h😂😂😘
[04/11/24, 9:34:31 PM] O2: .
[04/11/24, 9:34:34 PM] Aman: Hmm
[04/11/24, 9:34:35 PM] O2: .
[04/11/24, 9:34:40 PM] O2: 5
[04/11/24, 9:34:41 PM] Aman: Milte h
[04/11/24, 9:34:42 PM] O2: 4
[04/11/24, 9:34:44 PM] O2: 3
[04/11/24, 9:34:46 PM] Aman: Love u
[04/11/24, 9:34:47 PM] O2: 2
[04/11/24, 9:34:48 PM] Aman: 😘❤️
[04/11/24, 9:34:53 PM] O2: 🤗
[04/11/24, 10:12:24 PM] O2: hyeee
[04/11/24, 10:12:32 PM] Aman: Haye
[04/11/24, 10:12:44 PM] O2: kha liya?
[04/11/24, 10:12:48 PM] Aman: Hmm
[04/11/24, 10:40:29 PM] O2: Achha
[04/11/24, 10:41:10 PM] Aman: 1 min
[04/11/24, 10:41:16 PM] O2: Hm
[04/11/24, 10:45:54 PM] Aman: Hmm hello
[04/11/24, 10:46:18 PM] O2: Hi
[04/11/24, 10:46:33 PM] Aman: Ab kaun aa gya tha?
[04/11/24, 10:46:44 PM] O2: Koi nhi
[04/11/24, 10:47:06 PM] O2: Vo mummy ki tabyat khrab ho gyi achanak to jana pda
[04/11/24, 10:47:13 PM] Aman: Kya ho gya?
[04/11/24, 10:47:33 PM] O2: Bp low ho gya all of sudden
[04/11/24, 10:48:17 PM] Aman: Nimbu paani , glucond Yeh sab Diya karo
[04/11/24, 10:48:24 PM] Aman: Bola Karo ki daily Piya kare
[04/11/24, 10:48:35 PM] O2: Are ye basic khana hi kha lo bohot badi baat h
[04/11/24, 10:48:41 PM] O2: Khati hi nhi h
[04/11/24, 10:48:51 PM] O2: Na peeti h
[04/11/24, 10:49:02 PM] Aman: Arre toh jabardasti Diya jata h
[04/11/24, 10:49:09 PM] Aman: You can't be agreeing on her
[04/11/24, 10:49:15 PM] O2: Aur checkup bhi nhi krati jab tak severe na ho jaye
[04/11/24, 10:49:23 PM] O2: Ik
[04/11/24, 10:49:42 PM] O2: Pr jab tak h sirf tab tak hi kar skte h na ‎<This message was edited>
[04/11/24, 10:49:45 PM] O2: Uske baad kya
[04/11/24, 10:50:13 PM] O2: Smjh hi ni aata h
[04/11/24, 10:50:28 PM] O2: Aaj bhi dinner nhi kiya tha
[04/11/24, 10:50:49 PM] O2: Aur abhi krva rhe the to muh nhi khol rhi thi
[04/11/24, 10:51:11 PM] Aman: Abhi kaisi h?
[04/11/24, 10:51:20 PM] O2: Thik hi h
[04/11/24, 10:51:26 PM] O2: Medicine diya h
[04/11/24, 10:51:43 PM] Aman: But yr yeh sab problems shi nhi hoti h ekdam
[04/11/24, 10:51:54 PM] O2: Hm
[04/11/24, 10:51:57 PM] Aman: Meri mummy ko bhi hoti h
[04/11/24, 10:52:12 PM] Aman: Mai toh jabardasti khila peela deta hy
[04/11/24, 10:52:32 PM] O2: Pr inhe khud bhi to dhyan dena chahiye na
[04/11/24, 10:52:46 PM] O2: Upar se akele rhte h ye log
[04/11/24, 10:52:54 PM] O2: They should be more careful
[04/11/24, 10:53:04 PM] O2: Pr nhi utna hi zyada careless hote h ye
[04/11/24, 10:53:18 PM] Aman: Ek toh tumhari mummy kaam bhi kar karti h
[04/11/24, 10:53:29 PM] Aman: Toh thoda additional excercise ke liye bola kato
[04/11/24, 10:53:31 PM] Aman: Karo
[04/11/24, 10:53:40 PM] Aman: Like walking an all atleast
[04/11/24, 10:53:46 PM] O2: Kaam kam krti h?
[04/11/24, 10:53:53 PM] Aman: Hmm
[04/11/24, 10:54:08 PM] Aman: Mobbing and sweeping is a very good exercise
[04/11/24, 10:54:08 PM] O2: Tumhe aisa kyu lgta h
[04/11/24, 10:54:11 PM] Aman: Tbh
[04/11/24, 10:54:19 PM] O2: Maid sirf 1 floor k liye h
[04/11/24, 10:54:28 PM] O2: Baki 2 floors vhi krti h
[04/11/24, 10:54:44 PM] O2: Aur disting and all me bohot kaam ho jata h
[04/11/24, 10:54:44 PM] Aman: Axa axa ok
[04/11/24, 10:54:49 PM] O2: Hm
[04/11/24, 10:54:53 PM] Aman: Hmm right
[04/11/24, 10:54:59 PM] O2: Aur ha vo walking krti h sofi k sath
[04/11/24, 10:55:09 PM] O2: Pr vo enough nhi hota
[04/11/24, 10:55:09 PM] Aman: AXA theek h sorry to say that
[04/11/24, 10:55:29 PM] O2: Thoda yoga vagera krna chahiye pr kon smjhaye
[04/11/24, 10:55:56 PM] Aman: Bola karo
[04/11/24, 10:56:25 PM] Aman: But diet is more important at this point
[04/11/24, 10:56:37 PM] O2: Hmm vo to h
[04/11/24, 10:56:47 PM] Aman: Itna bhi decent h
[04/11/24, 10:56:58 PM] O2: Tumhe pta h abhi apple aur doodh diya vo bhi nhi le rhi thi
[04/11/24, 10:57:11 PM] O2: Fir maine zabardasti unka muh pkda aur khilaya
[04/11/24, 10:57:20 PM] Aman: Good
[04/11/24, 10:57:24 PM] O2: Aadha apple bhi nhi khaya jata
[04/11/24, 10:57:54 PM] Aman: Health is very imp
[04/11/24, 10:57:57 PM] Aman: Samjhaya karo
[04/11/24, 10:58:00 PM] Aman: Unhe
[04/11/24, 10:58:08 PM] Aman: Abhi unki age bhi itni Kam h
[04/11/24, 10:58:24 PM] O2: Smjhe tab na
[04/11/24, 10:58:59 PM] Aman: Like my mom rarely had these things in her 40s
[04/11/24, 10:59:09 PM] Aman: Early 40s I mean
[04/11/24, 10:59:34 PM] O2: Achha
[04/11/24, 10:59:45 PM] Aman: Hmm abhi hi hone laga thoda bahut
[04/11/24, 10:59:53 PM] Aman: Last 2-3 years se
[04/11/24, 11:00:07 PM] Aman: Tension an all jyada le leti h
[04/11/24, 11:00:29 PM] O2: Achha
[04/11/24, 11:00:43 PM] O2: Ye tension hi main root hoti h
[04/11/24, 11:00:51 PM] Aman: Hmm
[04/11/24, 11:01:19 PM] Aman: Tum ish mamale me shi ho ekdam
[04/11/24, 11:01:36 PM] O2: Mtlb
[04/11/24, 11:01:44 PM] Aman: Are kuch nhi
[04/11/24, 11:01:50 PM] O2: Btao
[04/11/24, 11:02:08 PM] Aman: Aise hi bola tha
[04/11/24, 11:02:22 PM] O2: Acha
[04/11/24, 11:02:24 PM] Aman: Hmm
[04/11/24, 11:02:30 PM] Aman: Leave it axa
[04/11/24, 11:02:34 PM] Aman: Take care of her !
[04/11/24, 11:02:42 PM] O2: Hm
[04/11/24, 11:02:46 PM] Aman: Hmm
‎[04/11/24, 11:02:50 PM] Aman: ‎sticker omitted
[04/11/24, 11:03:11 PM] O2: Kya btau
[04/11/24, 11:03:24 PM] Aman: Kuch bhi?
[04/11/24, 11:03:33 PM] Aman: Sab badiya?
[04/11/24, 11:03:49 PM] O2: Hm
[04/11/24, 11:04:01 PM] Aman: Ok
[04/11/24, 11:04:09 PM] Aman: Dinner ho gya?
[04/11/24, 11:04:10 PM] O2: ‎This message was deleted.
[04/11/24, 11:04:16 PM] O2: Ha
[04/11/24, 11:04:24 PM] O2: ‎This message was deleted.
[04/11/24, 11:04:28 PM] Aman: Del kar diya
[04/11/24, 11:05:34 PM] Aman: Hello
[04/11/24, 11:06:43 PM] O2: Ha
[04/11/24, 11:06:49 PM] O2: Sticker dekh rhi thi
[04/11/24, 11:07:00 PM] Aman: 😂
[04/11/24, 11:07:03 PM] Aman: Axa
[04/11/24, 11:07:16 PM] O2: Hm
[04/11/24, 11:07:23 PM] Aman: Ok
[04/11/24, 11:07:50 PM] O2: Kya kar rhe the
‎[04/11/24, 11:08:34 PM] Aman: ‎sticker omitted
[04/11/24, 11:08:56 PM] O2: Achha h😂😂
‎[04/11/24, 11:09:36 PM] Aman: ‎sticker omitted
[04/11/24, 11:09:46 PM] Aman: Yeh lo bada sa
[04/11/24, 11:09:56 PM] O2: Hm
[04/11/24, 11:10:04 PM] Aman: Kuch nhi
[04/11/24, 11:10:13 PM] O2: Assignment kar lo fir
[04/11/24, 11:10:19 PM] Aman: Abhi?
[04/11/24, 11:10:20 PM] O2: Vc me krte h
[04/11/24, 11:10:26 PM] O2: Hm
[04/11/24, 11:10:30 PM] O2: Krna h?
[04/11/24, 11:10:41 PM] Aman: Tum karlo mai pad lunga
[04/11/24, 11:10:50 PM] O2: Ok
[04/11/24, 11:10:54 PM] Aman: Hmm
[04/11/24, 11:11:20 PM] O2: Vc kre?
[04/11/24, 11:11:31 PM] Aman: Ok
[04/11/24, 11:11:39 PM] O2: 2 min
[04/11/24, 11:11:44 PM] Aman: Ik
[04/11/24, 11:15:24 PM] O2: 😅
[04/11/24, 11:18:09 PM] O2: Meri sheets khatam ho gyi😓
[04/11/24, 11:18:18 PM] O2: Sirf double sided bachi h
[04/11/24, 11:18:26 PM] Aman: Maths karlo
[04/11/24, 11:18:27 PM] O2: Ab kya kru😩
[04/11/24, 11:18:42 PM] O2: Vo to mai bhai se krva raho😚
[04/11/24, 11:19:00 PM] Aman: Sharam nhi aati !
[04/11/24, 11:19:08 PM] O2: 😑
[04/11/24, 11:19:13 PM] O2: Isme kaisi sharam
[04/11/24, 11:19:19 PM] O2: Usko pdhati thi mai
[04/11/24, 11:19:27 PM] O2: Itna to krega hi
[04/11/24, 11:19:27 PM] Aman: Harsh ko?
[04/11/24, 11:19:40 PM] O2: Dckt start kr diya vrna vo papa se krva leti
[04/11/24, 11:19:45 PM] O2: Nhi Ravi
[04/11/24, 11:19:52 PM] O2: Aur eckt mumma
[04/11/24, 11:19:58 PM] Aman: Axa vo
[04/11/24, 11:20:02 PM] O2: Pr unki tabyat khrab ho gyi😩
[04/11/24, 11:20:25 PM] O2: Ab khud krna pdega😥
[04/11/24, 11:20:36 PM] Aman: 😑
[04/11/24, 11:20:47 PM] Aman: Tumhe ish cheez ka dukh ho rha
[04/11/24, 11:20:55 PM] Aman: Ki assignment khud karna padega
[04/11/24, 11:21:04 PM] O2: Nhi😑
[04/11/24, 11:21:16 PM] O2: Papa vle case me ho rha
[04/11/24, 11:21:27 PM] O2: Khud start nhi krna chahiye tha
[04/11/24, 11:21:31 PM] O2: 🥺
[04/11/24, 11:21:37 PM] Aman: Kya?
[04/11/24, 11:22:11 PM] O2: Dckt ka assignment
[04/11/24, 11:22:42 PM] Aman: Axa mujhe dckt , EC , eckt ka bhej do
[04/11/24, 11:22:52 PM] O2: Ok
[04/11/24, 11:22:57 PM] O2: Abhi?
[04/11/24, 11:23:02 PM] Aman: Nhi bhej dena
[04/11/24, 11:23:03 PM] Aman: Bus
[04/11/24, 11:23:12 PM] O2: Thik h
[04/11/24, 11:23:21 PM] Aman: Submissions kab kab h?
[04/11/24, 11:23:37 PM] O2: Jate hi 1 week k andar ig
[04/11/24, 11:23:45 PM] Aman: Sare?
[04/11/24, 11:23:52 PM] O2: Hm shyd
[04/11/24, 11:24:08 PM] Aman: Ho jayenge mujhse!🥺
[04/11/24, 11:24:21 PM] O2: Nhi
[04/11/24, 11:24:29 PM] O2: Isliye start kar do ab
[04/11/24, 11:24:36 PM] O2: Delay mt kro vrna nhi hoga
[04/11/24, 11:24:42 PM] O2: Bohotttttttt saraaaaaaa h
[04/11/24, 11:24:49 PM] Aman: Dckt bhej dena
[04/11/24, 11:24:52 PM] Aman: Vo kitna h?
[04/11/24, 11:24:57 PM] Aman: Kal karta hu
[04/11/24, 11:25:06 PM] O2: Vo bhi h kafi
[04/11/24, 11:25:12 PM] Aman: 50?
[04/11/24, 11:25:14 PM] O2: Utna zyada bhi nhi h vaise
[04/11/24, 11:25:24 PM] O2: 70
[04/11/24, 11:25:30 PM] Aman: Kafi h !
[04/11/24, 11:25:34 PM] O2: Pdf pages
[04/11/24, 11:25:38 PM] Aman: Ok
[04/11/24, 11:25:46 PM] Aman: What about EC?
[04/11/24, 11:26:02 PM] O2: Vo to 100 something h
[04/11/24, 11:26:13 PM] Aman: Axa !
[04/11/24, 11:26:23 PM] O2: Hm☺️
[04/11/24, 11:26:30 PM] O2: Ho jayega na aram se
[04/11/24, 11:26:36 PM] O2: ☺️☺️
[04/11/24, 11:26:41 PM] Aman: Kal dekhta hu
[04/11/24, 11:26:48 PM] Aman: Varna FE ko pakadwa dunga
[04/11/24, 11:26:49 PM] O2: Hm😂
[04/11/24, 11:26:54 PM] Aman: Vaise try karunga ki na hi du
[04/11/24, 11:27:06 PM] O2: Hm
[04/11/24, 11:27:53 PM] Aman: Ek din morning se night RH me tumhare saath bhetunga
[04/11/24, 11:27:57 PM] Aman: 70 pages ho jayenge
[04/11/24, 11:28:24 PM] O2: Kya mujhe uske bdle treat milegi😙😋😋
[04/11/24, 11:28:40 PM] Aman: Uske badle tumhare me assignments hote rehenge
[04/11/24, 11:28:58 PM] O2: Thik h🙄
[04/11/24, 11:29:02 PM] Aman: Hmm
[04/11/24, 11:30:00 PM] Aman: Meri ko itni tension lene ki jarurat nhi h vaise
[04/11/24, 11:30:22 PM] Aman: Eckt Vali mam toh bahut acche se janti hi h !
[04/11/24, 11:30:39 PM] Aman: Maths Vali ki nazro me I'm already good boy
[04/11/24, 11:30:56 PM] Aman: Dckt ka toh already fav baccha ban hi gya hu
[04/11/24, 11:31:12 PM] Aman: Aur sam mam toh starting se lineant thi
[04/11/24, 11:31:15 PM] Aman: Mere towards
[04/11/24, 11:31:16 PM] Aman: 😂😂
[04/11/24, 11:31:25 PM] O2: Hm😂
[04/11/24, 11:31:36 PM] Aman: Kapss hi harami tha bus
[04/11/24, 11:31:45 PM] Aman: Unke me u have an edge
[04/11/24, 11:32:01 PM] O2: Edge🤢🥴🥴
[04/11/24, 11:32:08 PM] Aman: 😂😂
[04/11/24, 11:32:21 PM] O2: Nhi chahiye uska edge
[04/11/24, 11:32:30 PM] O2: Aur usne vaise bhi diya bhi nhi h
[04/11/24, 11:32:37 PM] O2: *******
[04/11/24, 11:32:46 PM] O2: *******…
[04/11/24, 11:32:49 PM] Aman: Ek extra * h
[04/11/24, 11:33:10 PM] O2: Are maine bohot saare lgaye the pr 3 hi lage
[04/11/24, 11:33:37 PM] Aman: Ok
[04/11/24, 11:33:59 PM] Aman: Yr Ghar me time nhi manage hota
[04/11/24, 11:34:37 PM] O2: 2 min do vc krte h fir
[04/11/24, 11:34:42 PM] Aman: Ok
[04/11/24, 11:34:53 PM] Aman: Tab se nhi hue aapke
[04/11/24, 11:34:55 PM] O2: Isbaar pkka 2-5 min bs😅
[04/11/24, 11:35:02 PM] Aman: Hmm
[04/11/24, 11:40:07 PM] O2: 2 min aur remote nhi mil rha😕
[04/11/24, 11:40:40 PM] Aman: Hmm
[04/11/24, 11:43:51 PM] O2: Kru?
[04/11/24, 11:44:17 PM] Aman: Hmm 2 min over ho gye toh bilkul
[04/11/24, 11:59:55 PM] O2: 1 min
[05/11/24, 12:00:17 AM] Aman: 👍
[05/11/24, 12:17:55 AM] Aman: Hi
[05/11/24, 12:19:34 AM] O2: Hiii
‎[05/11/24, 12:19:56 AM] Aman: ‎sticker omitted
[05/11/24, 12:23:19 AM] Aman: Hello?
[05/11/24, 12:25:58 AM] O2: Maine bhi bnaya ek😙
‎[05/11/24, 12:26:04 AM] O2: ‎sticker omitted
[05/11/24, 12:26:19 AM] Aman: U were busy in that
[05/11/24, 12:26:30 AM] O2: 🥺
[05/11/24, 12:26:35 AM] Aman: U
[05/11/24, 12:26:47 AM] O2: Hehe🤗
[05/11/24, 12:27:38 AM] Aman: Kal kya kya karogi?
[05/11/24, 12:27:43 AM] Aman: Koi plan?
[05/11/24, 12:27:56 AM] O2: Ghar ka kaam😓
[05/11/24, 12:28:14 AM] O2: Mummy ko rest dedungi thoda
[05/11/24, 12:28:24 AM] Aman: Axa ok
[05/11/24, 12:28:37 AM] O2: Pta h kal vo didi bhi nhi aa rhi😭
[05/11/24, 12:28:44 AM] O2: Mujhe krna pdega
[05/11/24, 12:29:04 AM] O2: Upar se kal Ravi ka school h vrna hum dono mil k krte
[05/11/24, 12:29:14 AM] O2: Aur bhaiya bhi kal ja rhi kahi
[05/11/24, 12:29:21 AM] O2: 😓😓
[05/11/24, 12:29:22 AM] Aman: Kaha?
[05/11/24, 12:29:29 AM] O2: Pta nhi
[05/11/24, 12:29:37 AM] Aman: AXA kajal?
[05/11/24, 12:29:42 AM] O2: Hm
[05/11/24, 12:29:50 AM] Aman: Harsh bhaiya tumhara drink karte h?
[05/11/24, 12:30:07 AM] O2: Mtlb
[05/11/24, 12:30:13 AM] Aman: 🍷?
[05/11/24, 12:30:17 AM] Aman: Kabhi try Kiya?
[05/11/24, 12:30:20 AM] O2: Nhiii
[05/11/24, 12:30:21 AM] Aman: Bataya kuch?
[05/11/24, 12:30:24 AM] Aman: Axa ok
[05/11/24, 12:30:28 AM] O2: Beer try kiya tha
[05/11/24, 12:30:37 AM] O2: 1 baar
[05/11/24, 12:30:42 AM] Aman: Tumko bata bhi diya
[05/11/24, 12:30:47 AM] Aman: Mai toh kabhi na batata
[05/11/24, 12:30:52 AM] O2: Kyu nhi btayenge
[05/11/24, 12:30:59 AM] O2: Mujhe ya sis
[05/11/24, 12:31:04 AM] Aman: Sis
[05/11/24, 12:31:11 AM] Aman: Agar choti hoti
[05/11/24, 12:31:36 AM] Aman: Agar ek sach batau tumse?
[05/11/24, 12:31:38 AM] O2: Mai naam ki chhoti hu bs vrna unse zyada samajhdaar hu😌😌
[05/11/24, 12:31:43 AM] O2: Hm
[05/11/24, 12:31:48 AM] Aman: Ganta😂
[05/11/24, 12:31:55 AM] Aman: I don't know his level
[05/11/24, 12:31:55 AM] O2: 😑😑
[05/11/24, 12:31:56 AM] Aman: But u
[05/11/24, 12:31:58 AM] Aman: 😂😂
[05/11/24, 12:32:16 AM] Aman: Abhi Lelo aadha dozen saal aur
